acn,reporter_function,reporter_ATC,reporter_GROUND,reporter_INSTRUCTION_EXAM,reporter_MAINT_SAFETY,reporter_OTH_CREW,reporter_OTH_UNKN,reporter_PILOT
1507557,APPROACH,1,0,0,0,0,0,0
1513720,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1513718,PILOT NOT FLYING,0,0,0,0,0,0,1
1513706,FIRST OFFICER; PILOT FLYING,0,0,0,0,0,0,1
1513663,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1513655,PILOT NOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1513614,FIRST OFFICER; PILOT FLYING,0,0,0,0,0,0,1
1513606,APPROACH; DEPARTURE; SUPERVISOR / CIC,1,0,0,0,0,0,0
1513600,FLIGHT ATTENDANT (ON DUTY),0,0,0,0,1,0,0
1513569,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1513565,OTHER / UNKNOWN,0,0,0,0,0,1,0
1513755,DISPATCHER,1,0,0,0,0,0,0
1513561,PILOT FLYING; SINGLE PILOT,0,0,0,0,0,0,1
1513436,FIRST OFFICER; PILOT FLYING,0,0,0,0,0,0,1
1513434,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1513430,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1513429,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1513381,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1513375,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1513344,APPROACH,1,0,0,0,0,0,0
1513320,FIRST OFFICER; PILOT FLYING,0,0,0,0,0,0,1
1513314,SINGLE PILOT; PILOT FLYING,0,0,0,0,0,0,1
1513310,PILOT NOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1513498,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1513304,PILOT FLYING; SINGLE PILOT,0,0,0,0,0,0,1
1513813,SINGLE PILOT,0,0,0,0,0,0,1
1513831,APPROACH,1,0,0,0,0,0,0
1514155,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1514149,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1514114,ENROUTE; INSTRUCTOR,1,0,0,0,0,0,1
1514112,ENROUTE,1,0,0,0,0,0,0
1514103,LOCAL,0,0,0,0,0,1,0
1514099,APPROACH,1,0,0,0,0,0,0
1514096,APPROACH,1,0,0,0,0,0,0
1514088,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1514087,SINGLE PILOT; PILOT FLYING,0,0,0,0,0,0,1
1514080,CAPTAIN,0,0,0,0,0,0,1
1513822,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1514077,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1514048,PILOT FLYING; SINGLE PILOT,0,0,0,0,0,0,1
1514028,FLIGHT ATTENDANT (ON DUTY),0,0,0,0,1,0,0
1514026,FLIGHT ATTENDANT (ON DUTY),0,0,0,0,1,0,0
1514006,CAPTAIN,0,0,0,0,0,0,1
1513972,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1513970,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1513888,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1513871,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
