acn,flight_phase,phase_Climb,phase_Cruise,phase_Descent,phase_Downwind,phase_FinalApproach,phase_Ground/Preflight(UAS),phase_Hovering(UAS),phase_InitialApproach,phase_InitialClimb,phase_Landing,phase_Parked,phase_ReturntoHome(UAS),phase_Takeoff/Launch,phase_Taxi,phase_flightseveraldays,phase_nan,phase_other
1507557,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1513720,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513718,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513706,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1513663,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1513655,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1513614,Climb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513606,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1513600,Initial Approach; Initial Climb,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1513569,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1513565,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513755,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1513561,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1513436,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513434,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1513430,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1513429,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513381,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513375,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1513344,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1513320,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1513314,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1513310,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1513498,Final Approach; Landing,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1513304,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1513813,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1513831,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1514155,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1514149,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1514114,Climb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1514112,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1514103,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1514099,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1514096,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1514088,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1514087,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1514080,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1513822,Climb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1514077,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1514048,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1514028,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1514026,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1514006,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513972,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1513970,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513888,Initial Climb,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1513871,Climb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513854,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1513835,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1514071,Climb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513297,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1513281,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1513280,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1512695,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1512659,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1512649,Initial Climb,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1512648,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1512643,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1512641,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1512629,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1512622,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1512615,Climb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1512605,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1512723,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
